starting
Enc:FUEL
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
FUEL: dT:   i: 61166  f: 611660.00;  Pos:101110111011101110000001
